tenor,qoq_date,pd_segment,odr_loan,odr_client,odr_balance,pt_date
12,8/31/2022,Digital_BCL,0.03141718,0.030121681,0.028045673,5/31/2022
3,8/31/2022,Digital_SCL,0,0,0,5/31/2022
6,8/31/2022,Digital_SCL,0,0,0,5/31/2022
6,8/31/2022,Digital_SPL,0.078510552,0.073147419,0.070602102,5/31/2022
2,8/31/2022,Digital_BCL,0.118632284,0.099362148,0.15608766,5/31/2022
6,9/30/2022,Digital_BCL,0.068556742,0.062889738,0.058276303,6/30/2022
12,9/30/2022,Digital_SCL,0.00127551,0.001697793,6.67E-05,6/30/2022
3,9/30/2022,Digital_SCL,0.000257003,0.000324359,2.07E-05,6/30/2022
6,9/30/2022,Digital_SPL,0.088538538,0.081440995,0.080978305,6/30/2022
3,9/30/2022,Digital_BCL,0.042158372,0.045361967,0.03841089,6/30/2022
6,9/30/2022,Digital_SCL,0.001067378,0.001417937,0.000217248,6/30/2022
2,9/30/2022,Digital_BCL,0.794036557,0.753608567,0.833681318,6/30/2022
12,9/30/2022,Digital_BCL,0.040021203,0.039548744,0.035046888,6/30/2022
1,9/30/2022,Digital_SPL,0.052865973,0.051332704,0.059152351,6/30/2022
3,9/30/2022,Digital_SPL,0.05781504,0.057361294,0.056887741,6/30/2022
12,9/30/2022,Digital_SPL,0.084901229,0.080516302,0.079285006,6/30/2022
12,10/31/2022,Digital_BCL,0.051677253,0.050796356,0.045025075,7/31/2022
3,10/31/2022,Digital_BCL,0.055193903,0.056986815,0.04998059,7/31/2022
6,10/31/2022,Digital_SCL,0.008791794,0.009681414,0.006394848,7/31/2022
12,10/31/2022,Digital_SCL,0.005341643,0.007063197,0.003143524,7/31/2022
2,10/31/2022,Digital_BCL,0.942507038,0.934827422,0.955464877,7/31/2022
1,10/31/2022,Digital_SPL,0.054069105,0.052767151,0.05402377,7/31/2022
3,10/31/2022,Digital_SCL,0.003268828,0.003305464,0.011762359,7/31/2022
6,10/31/2022,Digital_BCL,0.083977535,0.075493629,0.071051494,7/31/2022
6,10/31/2022,Digital_SPL,0.094042771,0.087038364,0.084599093,7/31/2022
12,10/31/2022,Digital_SPL,0.093044694,0.086408151,0.083313192,7/31/2022
3,10/31/2022,Digital_SPL,0.061276372,0.059986916,0.059078412,7/31/2022
6,11/30/2022,Digital_SCL,0.01722913,0.019073332,0.013897329,8/31/2022
12,11/30/2022,Digital_BCL,0.070967436,0.068565752,0.062746653,8/31/2022
3,11/30/2022,Digital_SPL,0.063773775,0.06352727,0.062756646,8/31/2022
1,11/30/2022,Digital_SPL,0.062960008,0.059965028,0.062449156,8/31/2022
3,11/30/2022,Digital_SCL,0.007931135,0.008560558,0.011754354,8/31/2022
6,11/30/2022,Digital_SPL,0.103654288,0.095505509,0.090991427,8/31/2022
3,11/30/2022,Digital_BCL,0.075941117,0.074215719,0.071563851,8/31/2022
12,11/30/2022,Digital_SPL,0.107894803,0.096821279,0.092674714,8/31/2022
2,11/30/2022,Digital_BCL,0.976095302,0.97274104,0.983728579,8/31/2022
12,11/30/2022,Digital_SCL,0.016057656,0.017598098,0.008318685,8/31/2022
6,11/30/2022,Digital_BCL,0.108864017,0.095357936,0.095516305,8/31/2022
2,12/31/2022,Digital_BCL,0.990471018,0.989126214,0.994187352,9/30/2022
3,12/31/2022,Digital_SCL,0.013453725,0.013961087,0.019668303,9/30/2022
12,12/31/2022,Digital_SPL,0.117427982,0.103106358,0.098574984,9/30/2022
6,12/31/2022,Digital_SCL,0.030825624,0.03016793,0.031537551,9/30/2022
3,12/31/2022,Digital_SPL,0.069277995,0.067607173,0.073425071,9/30/2022
1,12/31/2022,Digital_SPL,0.079973287,0.067746141,0.082132267,9/30/2022
6,12/31/2022,Digital_SPL,0.112680828,0.10241139,0.100045634,9/30/2022
3,12/31/2022,Digital_BCL,0.088350012,0.085405207,0.084481269,9/30/2022
6,12/31/2022,Digital_BCL,0.128407032,0.111561477,0.113287118,9/30/2022
12,12/31/2022,Digital_BCL,0.0854833,0.082911667,0.076184222,9/30/2022
12,12/31/2022,Digital_SCL,0.025520877,0.026467003,0.015210476,9/30/2022
1,1/31/2023,Digital_SPL,0.069294151,0.056988792,0.073588727,10/31/2022
12,1/31/2023,Digital_SCL,0.040331993,0.03977015,0.029163828,10/31/2022
3,1/31/2023,Digital_BCL,0.073489581,0.067610085,0.065717424,10/31/2022
12,1/31/2023,Digital_SPL,0.096292633,0.080497014,0.079712531,10/31/2022
6,1/31/2023,Digital_SPL,0.089642198,0.078286177,0.079702694,10/31/2022
6,1/31/2023,Digital_SCL,0.04483303,0.040959508,0.048025255,10/31/2022
2,1/31/2023,Digital_BCL,0.983333333,0.983050847,0.99703257,10/31/2022
12,1/31/2023,Digital_BCL,0.084893409,0.079058548,0.07490182,10/31/2022
6,1/31/2023,Digital_BCL,0.11403614,0.095701654,0.095609152,10/31/2022
3,1/31/2023,Digital_SCL,0.02190052,0.021879215,0.025322872,10/31/2022
3,1/31/2023,Digital_SPL,0.0578705,0.053625948,0.064337024,10/31/2022
6,2/28/2023,Digital_SCL,0.060550957,0.050445476,0.063549895,11/30/2022
3,2/28/2023,Digital_BCL,0.074620834,0.06762261,0.064389559,11/30/2022
6,2/28/2023,Digital_BCL,0.118438266,0.097775018,0.095811262,11/30/2022
12,2/28/2023,Digital_SCL,0.055649425,0.055254001,0.042877653,11/30/2022
3,2/28/2023,Digital_SPL,0.064023832,0.05766865,0.068569075,11/30/2022
6,2/28/2023,Digital_SPL,0.088995035,0.077543299,0.081531146,11/30/2022
3,2/28/2023,Digital_SCL,0.029939046,0.028695652,0.019579889,11/30/2022
12,2/28/2023,Digital_SPL,0.099001668,0.081041474,0.082834528,11/30/2022
1,2/28/2023,Digital_SPL,0.066563564,0.053666106,0.074822266,11/30/2022
12,2/28/2023,Digital_BCL,0.093729126,0.085329023,0.083056533,11/30/2022
12,3/31/2023,Digital_SPL,0.096421062,0.079471932,0.082831684,12/31/2022
12,3/31/2023,Digital_BCL,0.100233652,0.087188759,0.087469739,12/31/2022
6,3/31/2023,Digital_SCL,0.086522702,0.065087992,0.085596187,12/31/2022
6,3/31/2023,Digital_BCL,0.11613837,0.095184526,0.0894014,12/31/2022
3,3/31/2023,Digital_SCL,0.042020084,0.034876637,0.026784518,12/31/2022
1,3/31/2023,Digital_SPL,0.061212785,0.050315134,0.074548891,12/31/2022
3,3/31/2023,Digital_SPL,0.065303596,0.05805728,0.064329005,12/31/2022
6,3/31/2023,Digital_SPL,0.0862907,0.075415657,0.079111746,12/31/2022
3,3/31/2023,Digital_BCL,0.077607564,0.068243665,0.064392688,12/31/2022
12,3/31/2023,Digital_SCL,0.081975236,0.073144688,0.068382701,12/31/2022
6,4/30/2023,Digital_SPL,0.091529051,0.079540395,0.086292008,1/31/2023
6,4/30/2023,Digital_SCL,0.11296002,0.078728808,0.097830294,1/31/2023
3,4/30/2023,Digital_BCL,0.084710402,0.072546535,0.067394043,1/31/2023
6,4/30/2023,Digital_BCL,0.117686928,0.095911438,0.088918029,1/31/2023
3,4/30/2023,Digital_SPL,0.065374236,0.058252558,0.066813692,1/31/2023
12,4/30/2023,Digital_BCL,0.108474125,0.090625583,0.092996419,1/31/2023
12,4/30/2023,Digital_SCL,0.107499546,0.089723526,0.093648124,1/31/2023
1,4/30/2023,Digital_SPL,0.054824336,0.047143182,0.068839028,1/31/2023
12,4/30/2023,Digital_SPL,0.097857464,0.080951442,0.087672747,1/31/2023
3,4/30/2023,Digital_SCL,0.04974289,0.042850107,0.032002123,1/31/2023
3,5/31/2023,Digital_BCL,0.086876667,0.075507461,0.068842479,2/28/2023
6,5/31/2023,Digital_SCL,0.125877922,0.08614617,0.103145823,2/28/2023
12,5/31/2023,Digital_SPL,0.099726229,0.082968339,0.092126958,2/28/2023
3,5/31/2023,Digital_SCL,0.053192696,0.046983449,0.036002992,2/28/2023
6,5/31/2023,Digital_SPL,0.095730171,0.084197621,0.089071388,2/28/2023
12,5/31/2023,Digital_SCL,0.118679051,0.099432551,0.108947045,2/28/2023
3,5/31/2023,Digital_SPL,0.06340527,0.058088377,0.065307725,2/28/2023
1,5/31/2023,Digital_SPL,0.054467493,0.04760074,0.058487175,2/28/2023
6,5/31/2023,Digital_BCL,0.119703087,0.098048122,0.090606398,2/28/2023
12,5/31/2023,Digital_BCL,0.116592806,0.094732548,0.099366467,2/28/2023
