pt_date,pd_segment,tenor,odr_loan
2023-11-30,Digital_KPL,109,0
2023-11-30,Digital_EML,48,0
2023-11-30,Digital_KPL,22,0
2023-11-30,Digital_KPL,143,0
2023-11-30,Digital_KPL,132,0
2023-11-30,Digital_KPL,105,0
2023-11-30,Digital_KPL,36,0
2023-11-30,Digital_KPL,29,0
2023-11-30,Digital_KPL,179,0
2023-11-30,Digital_BCL,12,0.10526634028581697
2023-11-30,Digital_KPL,14,0
2023-11-30,Digital_EAL,9,0.00010471204188481675
2023-11-30,Digital_SCL,6,0.0687116564417178
2023-11-30,Digital_KPL,44,0
2023-11-30,Digital_KPL,174,0
2023-11-30,Digital_AKL,6,0.001143501368980512
2023-11-30,Digital_KPL,46,0
2023-11-30,Digital_KPL,81,0
2023-11-30,Digital_SPL,12,0.0716209166094894
2023-11-30,Digital_KPL,99,0
2023-11-30,Digital_KPL,115,0
2023-11-30,Digital_KPL,102,0
2023-11-30,Digital_SPL,1,0.05175636601936641
2023-11-30,Digital_SPL,6,0.06548540893227087
2023-11-30,Digital_KPL,98,0
2023-11-30,Digital_KPL,33,0
2023-11-30,Digital_KPL,54,0
2023-11-30,Digital_EAL,4,0.00008950236684036756
2023-11-30,Digital_KPL,178,0
2023-11-30,Digital_KPL,154,0
2023-11-30,Digital_KPL,82,0
2023-11-30,Digital_KPL,144,0
2023-11-30,Digital_KPL,108,0
2023-11-30,Digital_KPL,94,0
2023-11-30,Digital_KPL,35,0
2023-12-31,Digital_KPL,13,0
2023-12-31,Digital_UDL,12,0.0007364854912358227
2023-12-31,Digital_AKL,3,0.00014007564084605686
2023-12-31,Digital_KPL,21,0
2023-12-31,Digital_AKL,9,0.0009006690684508493
2023-12-31,Digital_KPL,23,0
2023-12-31,Digital_APL,3,0.00019052699767557063
2023-12-31,Digital_KPL,100,0
2023-12-31,Digital_KPL,128,0
2023-12-31,Digital_PYL,24,0
2023-12-31,Digital_SPL,1,0.0587638805265656
2023-12-31,Digital_BCL,3,0.059715824018442144
2023-12-31,Digital_KPL,67,0
2023-12-31,Digital_KPL,179,0
2023-12-31,Digital_RCL,3,0.000019184468254501157
2023-12-31,Digital_PYL,18,0
2023-12-31,Digital_KPL,156,0
2023-12-31,Digital_KPL,94,0
2023-12-31,Digital_KPL,175,0
2023-12-31,Digital_KPL,174,0
2023-12-31,Digital_KPL,56,0
2023-12-31,Digital_KPL,53,0
