;BI7DR;CPI;GDP;SGRIDR;UNEMP;USDIDR;BI7DR_lag_1M;BI7DR_lag_3M;BI7DR_lag_6M;BI7DR_lag_12M;BI7DR_delta_1Q;BI7DR_delta_2Q;BI7DR_delta_3Q;BI7DR_delta_4Q;BI7DR_growth_1Q;BI7DR_growth_2Q;BI7DR_growth_3Q;BI7DR_growth_4Q;BI7DR_delta_1Q_1M;BI7DR_delta_2Q_1M;BI7DR_delta_3Q_1M;BI7DR_delta_4Q_1M;BI7DR_growth_1Q_1M;BI7DR_growth_2Q_1M;BI7DR_growth_3Q_1M;BI7DR_growth_4Q_1M;BI7DR_delta_1Q_3M;BI7DR_delta_2Q_3M;BI7DR_delta_3Q_3M;BI7DR_delta_4Q_3M;BI7DR_growth_1Q_3M;BI7DR_growth_2Q_3M;BI7DR_growth_3Q_3M;BI7DR_growth_4Q_3M;BI7DR_delta_1Q_6M;BI7DR_delta_2Q_6M;BI7DR_delta_3Q_6M;BI7DR_delta_4Q_6M;BI7DR_growth_1Q_6M;BI7DR_growth_2Q_6M;BI7DR_growth_3Q_6M;BI7DR_growth_4Q_6M;BI7DR_delta_1Q_12M;BI7DR_delta_2Q_12M;BI7DR_delta_3Q_12M;BI7DR_delta_4Q_12M;BI7DR_growth_1Q_12M;BI7DR_growth_2Q_12M;BI7DR_growth_3Q_12M;BI7DR_growth_4Q_12M;CPI_lag_1M;CPI_lag_3M;CPI_lag_6M;CPI_lag_12M;CPI_delta_1Q;CPI_delta_2Q;CPI_delta_3Q;CPI_delta_4Q;CPI_growth_1Q;CPI_growth_2Q;CPI_growth_3Q;CPI_growth_4Q;CPI_delta_1Q_1M;CPI_delta_2Q_1M;CPI_delta_3Q_1M;CPI_delta_4Q_1M;CPI_growth_1Q_1M;CPI_growth_2Q_1M;CPI_growth_3Q_1M;CPI_growth_4Q_1M;CPI_delta_1Q_3M;CPI_delta_2Q_3M;CPI_delta_3Q_3M;CPI_delta_4Q_3M;CPI_growth_1Q_3M;CPI_growth_2Q_3M;CPI_growth_3Q_3M;CPI_growth_4Q_3M;CPI_delta_1Q_6M;CPI_delta_2Q_6M;CPI_delta_3Q_6M;CPI_delta_4Q_6M;CPI_growth_1Q_6M;CPI_growth_2Q_6M;CPI_growth_3Q_6M;CPI_growth_4Q_6M;CPI_delta_1Q_12M;CPI_delta_2Q_12M;CPI_delta_3Q_12M;CPI_delta_4Q_12M;CPI_growth_1Q_12M;CPI_growth_2Q_12M;CPI_growth_3Q_12M;CPI_growth_4Q_12M;GDP_lag_1M;GDP_lag_3M;GDP_lag_6M;GDP_lag_12M;GDP_delta_1Q;GDP_delta_2Q;GDP_delta_3Q;GDP_delta_4Q;GDP_growth_1Q;GDP_growth_2Q;GDP_growth_3Q;GDP_growth_4Q;GDP_delta_1Q_1M;GDP_delta_2Q_1M;GDP_delta_3Q_1M;GDP_delta_4Q_1M;GDP_growth_1Q_1M;GDP_growth_2Q_1M;GDP_growth_3Q_1M;GDP_growth_4Q_1M;GDP_delta_1Q_3M;GDP_delta_2Q_3M;GDP_delta_3Q_3M;GDP_delta_4Q_3M;GDP_growth_1Q_3M;GDP_growth_2Q_3M;GDP_growth_3Q_3M;GDP_growth_4Q_3M;GDP_delta_1Q_6M;GDP_delta_2Q_6M;GDP_delta_3Q_6M;GDP_delta_4Q_6M;GDP_growth_1Q_6M;GDP_growth_2Q_6M;GDP_growth_3Q_6M;GDP_growth_4Q_6M;GDP_delta_1Q_12M;GDP_delta_2Q_12M;GDP_delta_3Q_12M;GDP_delta_4Q_12M;GDP_growth_1Q_12M;GDP_growth_2Q_12M;GDP_growth_3Q_12M;GDP_growth_4Q_12M;SGRIDR_lag_1M;SGRIDR_lag_3M;SGRIDR_lag_6M;SGRIDR_lag_12M;SGRIDR_delta_1Q;SGRIDR_delta_2Q;SGRIDR_delta_3Q;SGRIDR_delta_4Q;SGRIDR_growth_1Q;SGRIDR_growth_2Q;SGRIDR_growth_3Q;SGRIDR_growth_4Q;SGRIDR_delta_1Q_1M;SGRIDR_delta_2Q_1M;SGRIDR_delta_3Q_1M;SGRIDR_delta_4Q_1M;SGRIDR_growth_1Q_1M;SGRIDR_growth_2Q_1M;SGRIDR_growth_3Q_1M;SGRIDR_growth_4Q_1M;SGRIDR_delta_1Q_3M;SGRIDR_delta_2Q_3M;SGRIDR_delta_3Q_3M;SGRIDR_delta_4Q_3M;SGRIDR_growth_1Q_3M;SGRIDR_growth_2Q_3M;SGRIDR_growth_3Q_3M;SGRIDR_growth_4Q_3M;SGRIDR_delta_1Q_6M;SGRIDR_delta_2Q_6M;SGRIDR_delta_3Q_6M;SGRIDR_delta_4Q_6M;SGRIDR_growth_1Q_6M;SGRIDR_growth_2Q_6M;SGRIDR_growth_3Q_6M;SGRIDR_growth_4Q_6M;SGRIDR_delta_1Q_12M;SGRIDR_delta_2Q_12M;SGRIDR_delta_3Q_12M;SGRIDR_delta_4Q_12M;SGRIDR_growth_1Q_12M;SGRIDR_growth_2Q_12M;SGRIDR_growth_3Q_12M;SGRIDR_growth_4Q_12M;UNEMP_lag_1M;UNEMP_lag_3M;UNEMP_lag_6M;UNEMP_lag_12M;UNEMP_delta_1Q;UNEMP_delta_2Q;UNEMP_delta_3Q;UNEMP_delta_4Q;UNEMP_growth_1Q;UNEMP_growth_2Q;UNEMP_growth_3Q;UNEMP_growth_4Q;UNEMP_delta_1Q_1M;UNEMP_delta_2Q_1M;UNEMP_delta_3Q_1M;UNEMP_delta_4Q_1M;UNEMP_growth_1Q_1M;UNEMP_growth_2Q_1M;UNEMP_growth_3Q_1M;UNEMP_growth_4Q_1M;UNEMP_delta_1Q_3M;UNEMP_delta_2Q_3M;UNEMP_delta_3Q_3M;UNEMP_delta_4Q_3M;UNEMP_growth_1Q_3M;UNEMP_growth_2Q_3M;UNEMP_growth_3Q_3M;UNEMP_growth_4Q_3M;UNEMP_delta_1Q_6M;UNEMP_delta_2Q_6M;UNEMP_delta_3Q_6M;UNEMP_delta_4Q_6M;UNEMP_growth_1Q_6M;UNEMP_growth_2Q_6M;UNEMP_growth_3Q_6M;UNEMP_growth_4Q_6M;UNEMP_delta_1Q_12M;UNEMP_delta_2Q_12M;UNEMP_delta_3Q_12M;UNEMP_delta_4Q_12M;UNEMP_growth_1Q_12M;UNEMP_growth_2Q_12M;UNEMP_growth_3Q_12M;UNEMP_growth_4Q_12M;USDIDR_lag_1M;USDIDR_lag_3M;USDIDR_lag_6M;USDIDR_lag_12M;USDIDR_delta_1Q;USDIDR_delta_2Q;USDIDR_delta_3Q;USDIDR_delta_4Q;USDIDR_growth_1Q;USDIDR_growth_2Q;USDIDR_growth_3Q;USDIDR_growth_4Q;USDIDR_delta_1Q_1M;USDIDR_delta_2Q_1M;USDIDR_delta_3Q_1M;USDIDR_delta_4Q_1M;USDIDR_growth_1Q_1M;USDIDR_growth_2Q_1M;USDIDR_growth_3Q_1M;USDIDR_growth_4Q_1M;USDIDR_delta_1Q_3M;USDIDR_delta_2Q_3M;USDIDR_delta_3Q_3M;USDIDR_delta_4Q_3M;USDIDR_growth_1Q_3M;USDIDR_growth_2Q_3M;USDIDR_growth_3Q_3M;USDIDR_growth_4Q_3M;USDIDR_delta_1Q_6M;USDIDR_delta_2Q_6M;USDIDR_delta_3Q_6M;USDIDR_delta_4Q_6M;USDIDR_growth_1Q_6M;USDIDR_growth_2Q_6M;USDIDR_growth_3Q_6M;USDIDR_growth_4Q_6M;USDIDR_delta_1Q_12M;USDIDR_delta_2Q_12M;USDIDR_delta_3Q_12M;USDIDR_delta_4Q_12M;USDIDR_growth_1Q_12M;USDIDR_growth_2Q_12M;USDIDR_growth_3Q_12M;USDIDR_growth_4Q_12M
31/12/2003;;05.06;0,210416667;4958.76;9.633.333.333.333.330;8420.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.33;06.02;0,293055556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.066.666.666.666.600;04.56;05.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4923.15.00;4826.06.00;4665.25.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.06;9.533.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8458.05.00;8395.00.00;8275.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2004;;0,223611111;4.453.333.333.333.330;5009.41.00;9.666.666.666.666.660;8468.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.06;06.22;0,263194444;0,384722222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,210416667;4.583.333.333.333.330;4.873.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4958.76;4887.54.00;4834.13.00;5096.59.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.633.333.333.333.330;9.566.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8420.00.00;8497.00.00;8510.00.00;8870.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/02/2004;;04.06;4.276.666.666.666.660;5060.06.00;09.07;8516.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,223611111;05.33;06.38;07.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.453.333.333.333.330;46.066.666.666.666.600;4.716.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5009.41.00;4923.15.00;4.830.365;5115.55.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.666.666.666.666.660;09.06;09.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8468.00.00;8458.05.00;8452.05.00;8884.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2004;;05.11;04.01;5110.71;9.733.333.333.333.330;8564.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.06;05.06;06.02;07.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.276.666.666.666.660;0,210416667;04.56;0,229861111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5060.06.00;4958.76;4826.06.00;5046.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.07;9.633.333.333.333.330;9.533.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8516.00.00;8420.00.00;8395.00.00;8902.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2004;;0,272222222;4.196.666.666.666.660;5155.87;9.766.666.666.666.660;8705.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.11;0,223611111;06.22;07.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.01;4.453.333.333.333.330;4.583.333.333.333.330;0,232638889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5110.71;5009.41.00;4887.54.00;4890.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.733.333.333.333.330;9.666.666.666.666.660;9.566.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8564.00.00;8468.00.00;8497.00.00;8675.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2004;;06.47;4.293.333.333.333.330;5459.18.00;09.08;9268.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,272222222;04.06;05.33;0,313194444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.196.666.666.666.660;4.276.666.666.666.660;46.066.666.666.666.600;0,235416667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5155.87;5060.06.00;4923.15.00;47.779.400.000.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.766.666.666.666.660;09.07;09.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8705.00.00;8516.00.00;8458.05.00;8475.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2004;;0,307638889;04.39;5472.59.00;9.833.333.333.333.330;9400.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.47;05.11;05.06;0,293055556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.293.333.333.333.330;04.01;0,210416667;05.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5459.18.00;5110.71;4958.76;4665.25.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.08;9.733.333.333.333.330;9.633.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9268.00.00;8564.00.00;8420.00.00;8275.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2004;;07.02;4.426.666.666.666.660;5474.62;9.866.666.666.666.660;9385.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,307638889;0,272222222;0,223611111;0,263194444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.39;4.196.666.666.666.660;4.453.333.333.333.330;4.873.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5472.59.00;5155.87;5009.41.00;4834.13.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.833.333.333.333.330;9.766.666.666.666.660;9.666.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9400.00.00;8705.00.00;8468.00.00;8510.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2004;;0,296527778;4.463.333.333.333.330;5476.65;09.09;9370.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.02;06.47;04.06;06.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.426.666.666.666.660;4.293.333.333.333.330;4.276.666.666.666.660;4.716.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5474.62;5459.18.00;5060.06.00;4.830.365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.866.666.666.666.660;09.08;09.07;09.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9385.00.00;9268.00.00;8516.00.00;8452.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2004;;06.27;04.05;5436.46.00;0,441666667;9155.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,296527778;0,307638889;05.11;06.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.463.333.333.333.330;04.39;04.01;04.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5476.65;5472.59.00;5110.71;4826.06.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.09;9.833.333.333.333.330;9.733.333.333.333.330;9.533.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9370.00.00;9400.00.00;8564.00.00;8395.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/10/2004;;06.22;5.386.666.666.666.660;5.466.575;10.02;9077.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.27;07.02;0,272222222;06.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04.05;4.426.666.666.666.660;4.196.666.666.666.660;4.583.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5436.46.00;5474.62;5155.87;4887.54.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,441666667;9.866.666.666.666.660;9.766.666.666.666.660;9.566.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9155.00.00;9385.00.00;8705.00.00;8497.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2004;;06.18;6.273.333.333.333.330;5496.69;10.08;9000.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.22;0,296527778;06.47;05.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.386.666.666.666.660;4.463.333.333.333.330;4.293.333.333.333.330;46.066.666.666.666.600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.466.575;5476.65;5459.18.00;4923.15.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.02;09.09;09.08;09.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9077.05.00;9370.00.00;9268.00.00;8458.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/12/2004;;06.04;07.16;5680.05.00;10.14;9270.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.18;06.27;0,307638889;05.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.273.333.333.333.330;04.05;04.39;0,210416667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5496.69;5436.46.00;5472.59.00;4958.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.08;0,441666667;9.833.333.333.333.330;9.633.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9000.00.00;9155.00.00;9400.00.00;8420.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/01/2005;;07.32;0,302777778;5593.91;10.02;9161.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.04;06.22;07.02;0,223611111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.16;5.386.666.666.666.660;4.426.666.666.666.660;4.453.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5680.05.00;5.466.575;5474.62;5009.41.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.14;10.02;9.866.666.666.666.660;9.666.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9270.00.00;9077.05.00;9385.00.00;8468.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/02/2005;;07.15;06.36;5717.09.00;10.26;9285.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.32;06.18;0,296527778;04.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,302777778;6.273.333.333.333.330;4.463.333.333.333.330;4.276.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5593.91;5496.69;5476.65;5060.06.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.02;10.08;09.09;09.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9161.00.00;9000.00.00;9370.00.00;8516.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2005;;0,389583333;0,275;5734.63;10.368.888.888.888.800;9465.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.15;06.04;06.27;05.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06.36;07.16;04.05;04.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5717.09.00;5680.05.00;5436.46.00;5110.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.26;10.14;0,441666667;9.733.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9285.00.00;9270.00.00;9155.00.00;8564.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/04/2005;;08.12;0,272916667;5.723.175;10.477.777.777.777.700;9491.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,389583333;07.32;06.22;0,272222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,275;0,302777778;5.386.666.666.666.660;4.196.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5734.63;5593.91;5.466.575;5155.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.368.888.888.888.800;10.02;10.02;9.766.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9465.00.00;9161.00.00;9077.05.00;8705.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2005;;07.04;05.09;5711.72;10.586.666.666.666.600;9518.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.12;07.15;06.18;06.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,272916667;06.36;6.273.333.333.333.330;4.293.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.723.175;5717.09.00;5496.69;5459.18.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.477.777.777.777.700;10.26;10.08;09.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9491.05.00;9285.00.00;9000.00.00;9268.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/06/2005;;07.42;0,26875;5790.06.00;10.695.555.555.555.500;9760.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.04;0,389583333;06.04;0,307638889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05.09;0,275;07.16;04.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5711.72;5734.63;5680.05.00;5472.59.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.586.666.666.666.600;10.368.888.888.888.800;10.14;9.833.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9518.00.00;9465.00.00;9270.00.00;9400.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/07/2005;;0,35;0,268055556;5.969.655.000.000.000;10.804.444.444.444.400;10030.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07.42;08.12;07.32;07.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,26875;0,272916667;0,302777778;4.426.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5790.06.00;5.723.175;5593.91;5474.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.695.555.555.555.500;10.477.777.777.777.700;10.02;9.866.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9760.00.00;9491.05.00;9161.00.00;9385.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/08/2005;;08.03;0,267361111;6149.25.00;10.913.333.333.333.300;10300.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,35;07.04;07.15;0,296527778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,268055556;05.09;06.36;4.463.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.969.655.000.000.000;5711.72;5717.09.00;5476.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.804.444.444.444.400;10.586.666.666.666.600;10.26;09.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10030.0;9518.00.00;9285.00.00;9370.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/09/2005;;09.01;0,266666667;6087.48.00;11.022.222.222.222.200;10300.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.03;07.42;0,389583333;06.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,267361111;0,26875;0,275;04.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6149.25.00;5790.06.00;5734.63;5436.46.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.913.333.333.333.300;10.695.555.555.555.500;10.368.888.888.888.800;0,441666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10300.0;9760.00.00;9465.00.00;9155.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/10/2005;;0,770138889;5.596.666.666.666.660;5977.27.00;11.131.111.111.111.100;10123.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;09.01;0,35;08.12;06.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,266666667;0,268055556;0,272916667;5.386.666.666.666.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6087.48.00;5.969.655.000.000.000;5.723.175;5.466.575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.022.222.222.222.200;10.804.444.444.444.400;10.477.777.777.777.700;10.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10300.0;10030.0;9491.05.00;9077.05.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2005;;18.04;53.533.333.333.333.300;5927.22.00;11.24;10025.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,770138889;08.03;07.04;06.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.596.666.666.666.660;0,267361111;05.09;6.273.333.333.333.330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5977.27.00;6149.25.00;5711.72;5496.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.131.111.111.111.100;10.913.333.333.333.300;10.586.666.666.666.600;10.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10123.0;10300.0;9518.00.00;9000.00.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
