ec_number,pd_segment,tenor,period,ecl_bucket,avg_marginal_pd_loan,avg_marginal_pd_client,avg_marginal_pd_balance,wa_marginal_pd_loan,wa_marginal_pd_client,wa_marginal_pd_balance,pt_date
EC1,Digital_SPL,1,15,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,14,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,2,11,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,24,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,24,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,12,23,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,29,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,9,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,11,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,23,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SCL,12,22,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,21,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,15,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,18,8,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,21,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,24,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,6,1,0.005490955,0.005693959,0.006055,0.004435057,0.00428436,0.004177,3/31/2024
EC1,Digital_SCL,3,11,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,23,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,9,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,5,4,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,26,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,3,21,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,26,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_BCL,6,24,2,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,6,13,5,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,3,2,1,1.47641E-07,3.58655E-07,0,1.47641E-07,3.58655E-07,0,3/31/2024
EC1,Digital_BCL,12,19,1,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,1,3,3,0.802173142,0.802725807,0.811974,0.811204627,0.810444009,0.821966,3/31/2024
EC1,Digital_SPL,1,22,3,0,0,0,0,0,0,3/31/2024
EC1,Digital_SPL,12,23,4,0,0,0,0,0,0,3/31/2024
