;USDIDR;GDP;CPI;Birepo;USDIDRgrowth;Unemployment;GDP_lag1Q;CPI_lag1Q;Birepo_lag1Q;USDIDRgrowth_lag1Q;Unemployment_lag1Q;GDP_lag2Q;CPI_lag2Q;Birepo_lag2Q;USDIDRgrowth_lag2Q;Unemployment_lag2Q;GDP_lag3Q;CPI_lag3Q;Birepo_lag3Q;USDIDRgrowth_lag3Q;Unemployment_lag3Q;delta_GDP;delta_CPI;delta_Birepo;delta_USDIDRgrowth;delta_Unemployment;delta_GDP_lag1Q;delta_CPI_lag1Q;delta_Birepo_lag1Q;delta_USDIDRgrowth_lag1Q;delta_Unemployment_lag1Q;delta_GDP_lag2Q;delta_CPI_lag2Q;delta_Birepo_lag2Q;delta_USDIDRgrowth_lag2Q;delta_Unemployment_lag2Q;delta_GDP_lag3Q;delta_CPI_lag3Q;delta_Birepo_lag3Q;delta_USDIDRgrowth_lag3Q;delta_Unemployment_lag3Q
Unemployment_lag1Q;-0,007270601063743882;-0,4430313898987471;-0,4000710088840334;-0,5583276532879814;-0,06286395664811434;0,6570436371244267;-0,6391669897073351;-0,33860718711733;-0,5173776996333642;0,11821715745473617;1,0;-0,5873985763715909;-0,23733189611983435;-0,3851187096433434;0,07935709580360982;0,6713914479471229;-0,4995089909764305;-0,2009962166031223;-0,27794878251618627;-0,06838348971012967;0,34299602222878023;-0,007188215213937825;-0,10285473860367435;-0,2537054354858352;0,09229648514947869;0,2961186265238621;-0,18562511764154505;-0,09449929613928552;-0,41251293593228766;0,1653285454510947;0,6010130955657629;-0,22542775632010087;-0,03219092816433858;-0,43325385502793645;0,08425720586546401;0,5322231206200222;-0,2414146803045072;-0,07998952959854962;-0,4454693835241283;-0,12522702185111662;0,4571243824507299
GDP_lag2Q;0,002408609849868614;0,42877139025575944;0,5689772842301922;0,29867777825718983;0,20638740848319947;-0,5328986415426529;0,6816539617894919;0,5377991561212849;0,1720787645497449;0,07994695580964736;-0,5873985763715909;1,0;0,4137068751423282;0,04729167912551049;0,0382015600765744;-0,6339216384294962;0,6812208522092703;0,3008674782953726;-0,05671652053910113;-0,017367085500727134;-0,4313337330863191;0,0024046613409131772;0,14527002480883675;0,3437320323264175;0,005514087922616132;-0,3152510286112541;0,35759056061847927;0,24408635476193338;0,38195430476391345;-0,10912460102221726;-0,6202142601280849;0,7457797482510191;0,2168907782507436;0,38842258008922476;-0,10811382375601003;-0,84482759854416;0,5159560048722727;0,13769222247870586;0,36984099539804144;-0,1274682162323915;-0,6811867256968954
CPI_lag2Q;-0,10401054633305144;0,2048114305655036;0,5052925534230189;-0,03606225662034971;0,25229083761556503;-0,3867708226300597;0,303718484827146;0,8156436906896589;-0,1888628789782397;0,5032840522612707;-0,23733189611983435;0,4137068751423282;1,0;-0,31222483671944923;0,568012705407255;-0,27703102151705955;0,4953676980308622;0,8458322859640598;-0,37965722320961304;0,4566774184137529;-0,28859479318044573;-0,1993436979740458;-0,27797915193037104;0,3702630514169954;-0,04008875586993266;-0,08460826552868157;-0,11901324844593433;0,1421210731240959;0,2866144963541436;0,22265320137241154;-0,1425308894079643;-0,014059814662411359;0,5476087364959258;0,21604731458375256;0,2373020192869681;-0,2546601922230318;0,10722378101354121;0,42504512891621854;0,23541276623220533;0,1043518992621687;-0,37994115723275984
Birepo_lag2Q;0,3267421683376449;-0,1113160065540469;-0,15297928687318843;0,5417983832579889;-0,044290973947707465;-0,1688554684835319;-0,03203026153014878;-0,23142423418759805;0,7947068004200389;-0,3469287268932861;-0,3851187096433434;0,04729167912551049;-0,31222483671944923;1,0;-0,40514583215278416;-0,47561935626337143;0,12380051796236027;-0,327154777705642;0,826332588879056;-0,422867700213321;-0,4525501235335279;-0,18383365348697506;0,23515141589081914;-0,28937223962850955;0,1604360255010537;0,13714350260749875;-0,14316452123074444;0,09571472477446616;0,04849097697343719;-0,15435894723504112;-0,03108546407529392;-0,09049803786002977;-0,045452900343071305;0,3644925182068113;-0,18370704925269346;-0,15462563463426016;-0,02555114775418468;-0,009640992522423937;0,3340176598246298;-0,10821889227137396;-0,2195624482042074
USDIDRgrowth_lag2Q;-0,058935418769477735;0,13040384709288433;0,1386841257876448;-0,13903778430135205;0,15821298381908536;-0,20033813280733434;-0,033888295724382435;0,36578582381340086;-0,3295249503237506;0,5487390571864057;0,07935709580360982;0,0382015600765744;0,568012705407255;-0,40514583215278416;1,0;0,1204898466985685;0,09747363096722299;0,5869948760353854;-0,4545764936893372;0,6008574365682335;-0,008681617604582432;-0,054410045839378154;-0,34014093119864697;0,249351413208044;-0,11867848188137586;-0,08036529249613662;-0,20659493226716144;-0,06491746522732843;0,01292134711653718;0,34172107290728226;0,19444617795025526;-0,12973612108695412;0,33392749583361325;-0,1353519363932335;0,761598431327187;0,23997739978453028;-0,06033317394210543;0,3838603716828188;-0,26957323138263717;0,35172238302697945;0,011979679957755108
Unemployment_lag2Q;-0,07689709249637607;-0,15774554066545607;-0,3005605888665328;-0,44980198109119174;-0,13988150839726868;0,3548723146139404;-0,4373588635796134;-0,34873254467843673;-0,49483572800616726;-0,022468780787484252;0,6713914479471229;-0,6339216384294962;-0,27703102151705955;-0,47561935626337143;0,1204898466985685;1,0;-0,5818269275571906;-0,20629618975504602;-0,36270953187015015;0,08878868702344309;0,6686393263364037;0,22329757838099712;-0,03375105437578516;-0,042368236909937365;-0,02364162189607069;0,002549128669161256;-0,00750962373875602;-0,11717699522290258;-0,26162627416157863;0,10299577441243897;0,3021694331421752;-0,18673020397393456;-0,10673590328591082;-0,41525446053532783;0,15282862805216985;0,6032191250643362;-0,23057856847346192;-0,055022639795281734;-0,42855192688337257;0,07732716871818453;0,5295066567836445
GDP_lag3Q;0,00926542067072798;0,1522527451544159;0,5384736345122806;0,3296128453273717;0,28317047460629;-0,4725624980469998;0,42832010645957036;0,5386127637466037;0,22377552165271103;0,19951676526230486;-0,4995089909764305;0,6812208522092703;0,4953676980308622;0,12380051796236027;0,09747363096722299;-0,5818269275571906;1,0;0,4042115744448439;0,015261608246763947;0,05289264375353162;-0,6289358856144072;-0,3539880981861797;0,05615819376799758;0,29594243277140814;0,1475646441491398;-0,02017961625573133;0,0016427190381386703;0,16150220311535352;0,34265894711429445;0,014848157488617765;-0,31246654247222383;0,35722445580397755;0,26702502843703557;0,37785519125851486;-0,09437459613498328;-0,6167820425781066;0,7477163314261667;0,23153847225933355;0,3814587563953298;-0,10949606076908706;-0,8419529648400759
CPI_lag3Q;-0,1853493834247134;0,10736910353070407;0,2503612425830783;0,037955996910054246;0,10206578490696;-0,30018623631020735;0,21210096525542746;0,5773755340417098;-0,22535984652835847;0,3938704757169606;-0,2009962166031223;0,3008674782953726;0,8458322859640598;-0,327154777705642;0,5869948760353854;-0,20629618975504602;0,4042115744448439;1,0;-0,41732123098785806;0,6175678117022849;-0,24525379155567187;-0,25296108133441386;-0,5998330153298411;0,47334225826961945;-0,24687140467799884;0,00970995737409697;-0,18667915916679612;-0,22933760687432597;0,3138352065363676;0,05045091565126383;-0,03994783856802223;-0,11335426469605077;0,20748194779969928;0,2398296324288649;0,2386211641257255;-0,115054994030689;-0,020383426281362867;0,48759768491724065;0,18353127100852978;0,18541155021220274;-0,2229598586144336
Birepo_lag3Q;0,3858821671815021;-0,21798081123484117;-0,21456666569624766;0,40381949684445295;0,047381146396064326;-0,009759180241725998;-0,13304351502592163;-0,2875139429784173;0,6229972559331367;-0,2431857824135838;-0,27794878251618627;-0,05671652053910113;-0,37965722320961304;0,826332588879056;-0,4545764936893372;-0,36270953187015015;0,015261608246763947;-0,41732123098785806;1,0;-0,48028216674566193;-0,4446376085711596;-0,2009898811427683;0,2595750330807798;-0,5487139163159599;0,29746969578624655;0,29239254919437857;-0,1679822958376291;0,203961919512251;-0,23571903811254868;0,0542806513559862;0,07238987938164779;-0,12896737523429344;0,03421470497994547;0,06778967671330101;-0,15532492052804436;-0,04400772137516563;-0,07295305368564627;0,002344098219749331;0,344945476399897;-0,1350809400658682;-0,14620497896387227
USDIDRgrowth_lag3Q;-0,19744823427687438;0,232447033210409;0,04202883149527973;0,017376083039730865;-0,15316757459110453;-0,2480080012036854;0,14066804040755082;0,24869653348027088;-0,2754997479061748;0,28661995825059355;-0,06838348971012967;-0,017367085500727134;0,4566774184137529;-0,422867700213321;0,6008574365682335;0,08878868702344309;0,05289264375353162;0,6175678117022849;-0,48028216674566193;1,0;0,12658324046877928;0,08037018812991265;-0,5215515328640611;0,5113505328034786;-0,46536888729397946;-0,17333221772685634;-0,053436038982875134;-0,29223765091926834;0,2157017627986886;-0,03943870423512533;-0,030869751571740177;-0,19901017692389794;-0,0009402206062108037;-0,006605925095311025;0,3461889754453234;0,19788287442881597;-0,1282969515077625;0,3070439958386635;-0,144490711655125;0,6991945194553503;0,23998412774070704
