qoq_date,pt_date,pd_segment,tenor,odr_loan,odr_client,odr_balance,zs_odr_balance,zs_odr_loan,zs_odr_client
12/31/2021,9/30/2021,Digital_BCL,3,0.0,0.0,0.0,-1.366957818440914,-1.3155944521032175,-1.3895209181307329
1/31/2022,10/31/2021,Digital_BCL,3,0.0,0.0,0.0,-1.366957818440914,-1.3155944521032175,-1.3895209181307329
2/28/2022,11/30/2021,Digital_BCL,3,0.000340782,0.000401169,0.000342693,-1.3547930139263464,-1.30522897226736,-1.375958550100729
3/31/2022,12/31/2021,Digital_BCL,3,0.002960412,0.003459199,0.002782712,-1.2681780140669092,-1.2255483496335136,-1.2725753666872717
4/30/2022,1/31/2022,Digital_BCL,3,0.010209268,0.012182785,0.011340011,-0.9644138008857155,-1.005061731499238,-0.9776560586814426
5/31/2022,2/28/2022,Digital_BCL,3,0.019696926,0.022500652,0.021836983,-0.5917957072132821,-0.7164780396126003,-0.6288387035552158
6/30/2022,3/31/2022,Digital_BCL,3,0.024787479,0.024577853,0.024638525,-0.49234748163134695,-0.5616399775234525,-0.5586145226382148
7/31/2022,4/30/2022,Digital_BCL,3,0.029225386,0.028773765,0.026860258,-0.4134811271141456,-0.42665328361969335,-0.41676282730405345
8/31/2022,5/31/2022,Digital_BCL,3,0.032372808,0.034430249,0.030176807,-0.29575135076042997,-0.3309189453156329,-0.2255334008931662
9/30/2022,6/30/2022,Digital_BCL,3,0.042158372,0.045361967,0.03841089,-0.003460553890571446,-0.0332739220324398,0.14403648789739168
10/31/2022,7/31/2022,Digital_BCL,3,0.055193903,0.056986815,0.04998059,0.40723688898742716,0.3632245248638032,0.5370391049212794
11/30/2022,8/31/2022,Digital_BCL,3,0.075941117,0.074215719,0.071563851,1.1733924592847071,0.9942872816033627,1.1194987087331594
12/31/2022,9/30/2022,Digital_BCL,3,0.088350012,0.085405207,0.084481269,1.6319307568366084,1.3717254999006117,1.497783058529164
1/31/2023,10/31/2022,Digital_BCL,3,0.073489581,0.067610085,0.065717424,0.9658578975525195,0.9197195316198576,0.8961812555413438
2/28/2023,11/30/2022,Digital_BCL,3,0.074620834,0.06762261,0.064389559,0.9187217782074031,0.9541285677800813,0.896604689703943
3/31/2023,12/31/2022,Digital_BCL,3,0.077607564,0.068243665,0.064392688,0.9188328504304312,1.0449751781942191,0.9176007698518959
4/30/2023,1/31/2023,Digital_BCL,3,0.084710402,0.072546535,0.067394043,1.025373972816413,1.261020403782315,1.0630684069955019
5/31/2023,2/28/2023,Digital_BCL,3,0.086876667,0.075507461,0.068842479,1.0767900822550707,1.3269111379661154,1.163168783947878
