qoq_date,pt_date,pd_segment,tenor,odr_loan,odr_client,odr_balance,zs_odr_balance,zs_odr_loan,zs_odr_client
12/31/2021,9/30/2021,Digital_BCL,2,0,0,0,-0.807310174,-0.796039819,-0.789674648
1/31/2022,10/31/2021,Digital_BCL,2,0,0,0,-0.807310174,-0.796039819,-0.789674648
2/28/2022,11/30/2021,Digital_BCL,2,0.000279762,0.000228891,0.000170024,-0.806928368,-0.7954046,-0.789151139
3/31/2022,12/31/2021,Digital_BCL,2,0.003203664,0.003644076,0.003599635,-0.799226822,-0.788765673,-0.781340072
4/30/2022,1/31/2022,Digital_BCL,2,0.013629685,0.014698422,0.016542806,-0.770161593,-0.765092651,-0.756057042
5/31/2022,2/28/2022,Digital_BCL,2,0.027490343,0.02773804,0.030308999,-0.739248184,-0.733621043,-0.726233382
6/30/2022,3/31/2022,Digital_BCL,2,0.024588488,0.02316993,0.025918479,-0.74910755,-0.740209911,-0.736681369
7/31/2022,4/30/2022,Digital_BCL,2,0.03399451,0.031509556,0.036375973,-0.725624167,-0.71885287,-0.71760733
8/31/2022,5/31/2022,Digital_BCL,2,0.118632284,0.099362148,0.15608766,-0.456799199,-0.526676792,-0.562417765
9/30/2022,6/30/2022,Digital_BCL,2,0.794036557,0.753608567,0.833681318,1.064807403,1.006876584,0.933946851
10/31/2022,7/31/2022,Digital_BCL,2,0.942507038,0.934827422,0.955464877,1.338284973,1.343989357,1.348422917
11/30/2022,8/31/2022,Digital_BCL,2,0.976095302,0.97274104,0.983728579,1.401754037,1.420253896,1.435137334
12/31/2022,9/30/2022,Digital_BCL,2,0.990471018,0.989126214,0.994187352,1.425240293,1.452894981,1.472612807
1/31/2023,10/31/2022,Digital_BCL,2,0.983333333,0.983050847,0.99703257,1.431629524,1.43668836,1.458717486
