qoq_date,pt_date,pd_segment,tenor,odr_loan,odr_client,odr_balance,zs_odr_balance,zs_odr_loan,zs_odr_client
12/31/2021,9/30/2021,Digital_BCL,6,0.0,0.0,0.0,-1.3719542162355203,-1.3222684826785003,-1.4008021033029168
1/31/2022,10/31/2021,Digital_BCL,6,0.0,0.0,0.0,-1.3719542162355203,-1.3222684826785003,-1.4008021033029168
2/28/2022,11/30/2021,Digital_BCL,6,0.000284423,0.000300253,0.00016168,-1.3677973260949814,-1.3163780394352929,-1.3932384822633934
3/31/2022,12/31/2021,Digital_BCL,6,0.004216723,0.004814264,0.003627079,-1.2786998314380449,-1.2349395131372654,-1.2795268171934702
4/30/2022,1/31/2022,Digital_BCL,6,0.014816643,0.01694259,0.013988816,-1.0122933348141114,-1.015413570641273,-0.9740042688499141
5/31/2022,2/28/2022,Digital_BCL,6,0.027014762,0.029800523,0.026385762,-0.6935603894888169,-0.7627886857220219,-0.6501023176168499
6/30/2022,3/31/2022,Digital_BCL,6,0.033375916,0.032932525,0.032437979,-0.537954246640585,-0.631048226623071,-0.571204600614758
7/31/2022,4/30/2022,Digital_BCL,6,0.04063087,0.038383501,0.037888198,-0.3978258348093257,-0.48079703466925733,-0.4338900133848662
8/31/2022,5/31/2022,Digital_BCL,6,0.053087664,0.049840131,0.047538572,-0.1497089091963041,-0.22281495147160857,-0.14528804201394208
9/30/2022,6/30/2022,Digital_BCL,6,0.068556742,0.062889738,0.058276303,0.12636461953736314,0.09755198785378434,0.18344233557665915
10/31/2022,7/31/2022,Digital_BCL,6,0.083977535,0.075493629,0.071051494,0.45482247153762173,0.41691893754402726,0.5009447590244138
11/30/2022,8/31/2022,Digital_BCL,6,0.108864017,0.095357936,0.095516305,1.083827491552766,0.9323217345896221,1.0013430576617308
12/31/2022,9/30/2022,Digital_BCL,6,0.128407032,0.111561477,0.113287118,1.5407257928210816,1.3370605238529671,1.4095236374473743
1/31/2023,10/31/2022,Digital_BCL,6,0.11403614,0.095701654,0.095609152,1.0862146438219313,1.039437182279812,1.0100015979476324
2/28/2023,11/30/2022,Digital_BCL,6,0.118438266,0.097775018,0.095811262,1.0914110136036252,1.1306058759243032,1.062231349433847
3/31/2023,12/31/2022,Digital_BCL,6,0.11613837,0.095184526,0.0894014,0.9266096024827993,1.0829746827603206,0.9969747165478579
4/30/2023,1/31/2023,Digital_BCL,6,0.117686928,0.095911438,0.088918029,0.914181843056015,1.1150455525838388,1.01528623016165
5/31/2023,2/28/2023,Digital_BCL,6,0.119703087,0.098048122,0.090606398,0.9575908265400057,1.1568005096681166,1.0691110647418636
