qoq_date,pt_date,pd_segment,tenor,odr_loan,odr_client,odr_balance,zs_odr_balance,zs_odr_loan,zs_odr_client
8/31/2022,5/31/2022,Digital_SCL,3,0,0,0,-1.556610525,-1.139610442,-1.207342514
9/30/2022,6/30/2022,Digital_SCL,3,0.000257003,0.000324359,2.07E-05,-1.554848788,-1.126400001,-1.187901531
10/31/2022,7/31/2022,Digital_SCL,3,0.003268828,0.003305464,0.011762359,-0.555538846,-0.971586494,-1.009224166
11/30/2022,8/31/2022,Digital_SCL,3,0.007931135,0.008560558,0.011754354,-0.556220136,-0.731935086,-0.694251581
12/31/2022,9/30/2022,Digital_SCL,3,0.013453725,0.013961087,0.019668303,0.117320794,-0.448063504,-0.370562113
1/31/2023,10/31/2022,Digital_SCL,3,0.02190052,0.021879215,0.025322872,0.598570252,-0.013882248,0.104023736
2/28/2023,11/30/2022,Digital_SCL,3,0.029939046,0.028695652,0.019579889,0.109796049,0.399313208,0.512577948
3/31/2023,12/31/2022,Digital_SCL,3,0.042020084,0.034876637,0.026784518,0.722968123,1.020301435,0.883045313
4/30/2023,1/31/2023,Digital_SCL,3,0.04974289,0.042850107,0.032002123,1.167028417,1.417268286,1.360948174
5/31/2023,2/28/2023,Digital_SCL,3,0.053192696,0.046983449,0.036002992,1.507534659,1.594594846,1.608686733
