scenario,product,tenor,period,bucket
BASE,Digital_KPL,12,36,2
BASE,Digital_KPL,12,36,3
BASE,Digital_KPL,12,36,4
BASE,Digital_KPL,12,36,5
BASE,Digital_KPL,13,1,1
BASE,Digital_KPL,13,1,2
BASE,Digital_KPL,13,1,3
BASE,Digital_KPL,13,1,4
BASE,Digital_KPL,13,1,5
BASE,Digital_KPL,13,2,1
BASE,Digital_KPL,13,2,2
BASE,Digital_KPL,13,2,3
BASE,Digital_KPL,13,2,4
BASE,Digital_KPL,13,2,5
BASE,Digital_KPL,13,3,1
BASE,Digital_KPL,13,3,2
BASE,Digital_KPL,13,3,3
BASE,Digital_KPL,13,3,4
BASE,Digital_KPL,13,3,5
BASE,Digital_KPL,13,4,1
BASE,Digital_KPL,13,4,2
BASE,Digital_KPL,13,4,3
BASE,Digital_KPL,13,4,4
BASE,Digital_KPL,13,4,5
BASE,Digital_KPL,13,5,1
BASE,Digital_KPL,13,5,2
BASE,Digital_KPL,13,5,3
BASE,Digital_KPL,13,5,4
BASE,Digital_KPL,13,5,5
BASE,Digital_KPL,13,6,1
BASE,Digital_KPL,13,6,2
BASE,Digital_KPL,13,6,3
BASE,Digital_KPL,13,6,4
BASE,Digital_KPL,13,6,5
BASE,Digital_KPL,13,7,1
BASE,Digital_KPL,13,7,2
BASE,Digital_KPL,13,7,3
BASE,Digital_KPL,13,7,4
BASE,Digital_KPL,13,7,5
BASE,Digital_KPL,13,8,1
BASE,Digital_KPL,13,8,2
BASE,Digital_KPL,13,8,3
BASE,Digital_KPL,13,8,4
BASE,Digital_KPL,13,8,5
BASE,Digital_KPL,13,9,1
BASE,Digital_KPL,13,9,2
BASE,Digital_KPL,13,9,3
BASE,Digital_KPL,13,9,4
BASE,Digital_KPL,13,9,5
BASE,Digital_KPL,13,10,1
BASE,Digital_KPL,13,10,2
BASE,Digital_KPL,13,10,3
BASE,Digital_KPL,13,10,4
BASE,Digital_KPL,13,10,5
BASE,Digital_KPL,13,11,1
BASE,Digital_KPL,13,11,2
BASE,Digital_KPL,13,11,3
BASE,Digital_KPL,13,11,4
BASE,Digital_KPL,13,11,5
BASE,Digital_KPL,13,12,1
BASE,Digital_KPL,13,12,2
BASE,Digital_KPL,13,12,3
BASE,Digital_KPL,13,12,4
BASE,Digital_KPL,13,12,5
BASE,Digital_KPL,13,13,1
BASE,Digital_KPL,13,13,2
BASE,Digital_KPL,13,13,3
BASE,Digital_KPL,13,13,4
BASE,Digital_KPL,13,13,5
BASE,Digital_KPL,13,14,1
BASE,Digital_KPL,13,14,2
BASE,Digital_KPL,13,14,3
BASE,Digital_KPL,13,14,4
BASE,Digital_KPL,13,14,5
BASE,Digital_KPL,13,15,1
BASE,Digital_KPL,13,15,2
BASE,Digital_KPL,13,15,3
BASE,Digital_KPL,13,15,4
BASE,Digital_KPL,13,15,5
BASE,Digital_KPL,13,16,1
BASE,Digital_KPL,13,16,2
BASE,Digital_KPL,13,16,3
BASE,Digital_KPL,13,16,4
BASE,Digital_KPL,13,16,5
BASE,Digital_KPL,13,17,1
BASE,Digital_KPL,13,17,2
BASE,Digital_KPL,13,17,3
BASE,Digital_KPL,13,17,4
BASE,Digital_KPL,13,17,5
BASE,Digital_KPL,13,18,1
BASE,Digital_KPL,13,18,2
BASE,Digital_KPL,13,18,3
BASE,Digital_KPL,13,18,4
BASE,Digital_KPL,13,18,5
BASE,Digital_KPL,13,19,1
BASE,Digital_KPL,13,19,2
BASE,Digital_KPL,13,19,3
BASE,Digital_KPL,13,19,4
BASE,Digital_KPL,13,19,5
BASE,Digital_KPL,13,20,1
BASE,Digital_KPL,13,20,2
BASE,Digital_KPL,13,20,3
BASE,Digital_KPL,13,20,4
BASE,Digital_KPL,13,20,5
BASE,Digital_KPL,13,21,1
BASE,Digital_KPL,13,21,2
BASE,Digital_KPL,13,21,3
BASE,Digital_KPL,13,21,4
BASE,Digital_KPL,13,21,5
BASE,Digital_KPL,13,22,1
BASE,Digital_KPL,13,22,2
BASE,Digital_KPL,13,22,3
BASE,Digital_KPL,13,22,4
BASE,Digital_KPL,13,22,5
BASE,Digital_KPL,13,23,1
BASE,Digital_KPL,13,23,2
